o_reward: 0.58, reward: 0.58, Epoch: 30    , params: 0.60, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 51.93   , genotype: [[3, [0, 1, 5, 6], [2, 2, 4, 2], [6, 5, 0, 10]], [[3, 3], [0, 4], [3, 4]]]
o_reward: 0.29, reward: 0.29, Epoch: 31    , params: 0.83, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 51.63   , genotype: [[5, [0, 0, 6, 7], [0, 3, 6, 6], [0, 3, 7, 2]], [[0, 1], [0, 4], [0, 1]]]
o_reward: 0.53, reward: 0.53, Epoch: 32    , params: 0.61, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 56.11   , genotype: [[0, [1, 0, 3, 6], [0, 1, 5, 3], [6, 5, 9, 7]], [[1, 3], [0, 4], [1, 3]]]
o_reward: 0.59, reward: 0.59, Epoch: 33    , params: 0.51, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 55.33   , genotype: [[9, [1, 1, 8, 3], [1, 3, 3, 6], [5, 3, 7, 8]], [[3, 2], [0, 0], [3, 1]]]
o_reward: 0.54, reward: 0.54, Epoch: 34    , params: 0.94, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 71.87   , genotype: [[1, [0, 0, 3, 6], [3, 0, 5, 1], [0, 3, 4, 1]], [[3, 2], [0, 0], [4, 1]]]
o_reward: 0.59, reward: 0.59, Epoch: 35    , params: 0.49, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 48.46   , genotype: [[9, [1, 1, 7, 6], [1, 3, 2, 0], [5, 6, 4, 3]], [[3, 2], [0, 3], [3, 1]]]
o_reward: 0.56, reward: 0.56, Epoch: 37    , params: 0.61, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 39.44   , genotype: [[8, [0, 0, 9, 8], [4, 4, 7, 6], [7, 6, 8, 5]], [[2, 1], [4, 3], [3, 3]]]
o_reward: 0.57, reward: 0.57, Epoch: 38    , params: 0.50, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 33.53   , genotype: [[8, [0, 1, 0, 6], [3, 4, 9, 3], [6, 1, 7, 0]], [[2, 3], [1, 4], [2, 4]]]
o_reward: 0.57, reward: 0.57, Epoch: 39    , params: 0.80, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 34.59   , genotype: [[1, [0, 1, 9, 9], [1, 4, 8, 5], [4, 4, 5, 5]], [[2, 2], [4, 2], [5, 4]]]
o_reward: 0.50, reward: 0.50, Epoch: 40    , params: 0.72, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 42.45   , genotype: [[4, [1, 1, 1, 3], [4, 0, 1, 6], [2, 3, 7, 4]], [[1, 2], [4, 3], [5, 3]]]
